****************************************************************
*       Calculation started on: Fri May 31 10:31:40 2024       *
****************************************************************
Timestep     Number of nodes      Mean crossing time     Crossed probability
       1                   4      0.0000000000000000      0.0000000000000000
       2                   9      0.0000000000000000      0.0000000000000000
       3                  12      0.1875000000000000      0.0625000000000000
       4                  13      0.5464150409336352      0.1562500000000000
       5                  12      1.0379494749805140      0.2617187500000000
       6                  13      1.5502135758557973      0.3496093750000000
       7                  12      2.1472575765247455      0.4396972656250000
       8                  13      2.6890932903390321      0.5089111328125000
       9                  12      3.2892886342252026      0.5785369873046875
      10                  13      3.8055600011545696      0.6310653686523438
      11                  12      4.3641578621500745      0.6836709976196289
      12                  13      4.8315245361251105      0.7231831550598145
      13                  12      5.3302785717362102      0.7627097964286804
      14                  13      5.7403722483056558      0.7923656404018402
      15                  12      6.1739231187610901      0.8220242001116276
      16                  13      6.5260416209067760      0.8442701566964388
      17                  12      6.8957343393868005      0.8665166224818677
      18                  13      7.1932057682424233      0.8832018537214026
      19                  12      7.5038537841705750      0.8998871804360533
      20                  13      7.7519880423536538      0.9124012470783782
      21                  12      8.0100038693357067      0.9249153316222873
      22                  13      8.2148762490816427      0.9343009084564073
      23                  12      8.4271596218802660      0.9436864886470744
      24                  13      8.5948923919127527      0.9507256763074849
      25                  12      8.7681833685436601      0.9577648645972481
      26                  13      8.9045417519414229      0.9630442562865849
      27                  12      9.0450687824191505      0.9683236480939250
      28                  13      9.1552566624272629      0.9722831920379331
      29                  12      9.2685710261371739      0.9762427360040666
      30                  13      9.3571512530492313      0.9792123939952608
      31                  12      9.4480763424112268      0.9821820519906037
      32                  13      9.5189659997801215      0.9844092954902228
      33                  12      9.5916143039205934      0.9866365389906191
      34                  13      9.6481224122361624      0.9883069716164998
      35                  12      9.7059495056171912      0.9899774042425267
      36                  13      9.7508362358005272      0.9912302287121562
      37                  12      9.7967122047803201      0.9924830531818127
      38                  13      9.8322564891238216      0.9934226715340762
      39                  12      9.8685427025641346      0.9943622898863440
      40                  13      9.8966103433504529      0.9950670036505489
      41                  12      9.9252344309592857      0.9957717174147551
      42                  13      9.9473422321954033      0.9963002527379099
      43                  12      9.9698673685483712      0.9968287880610656
      44                  13      9.9872410224602035      0.9972251895534323
      45                  12     10.0049276777096665      0.9976215910457991
      46                  13     10.0185525203820944      0.9979188921650741
      47                  12     10.0324121140577418      0.9982161932843492
      48                  13     10.0430766977409789      0.9984391691238055
      49                  12     10.0539173446766270      0.9986621449632618
      50                  13     10.0622502461982393      0.9988293768428540
      51                  12     10.0707151951591598      0.9989966087224462
      52                  13     10.0772157191197564      0.9991220326321399
      53                  12     10.0838152786598414      0.9992474565418337
      54                  13     10.0888788074948224      0.9993415244741040
      55                  12     10.0940166130144178      0.9994355924063743
      56                  13     10.0979553615390643      0.9995061433555770
      57                  12     10.1019498175771716      0.9995766943047801
      58                  13     10.1050097053944583      0.9996296075166820
      59                  12     10.1081113738468460      0.9996825207285842
      60                  13     10.1104856595276615      0.9997222056375112
      61                  12     10.1128912806847993      0.9997618905464383
      62                  13     10.1147315223088086      0.9997916542281335
      63                  12     10.1165952655400631      0.9998214179098288
      64                  13     10.1180200922806094      0.9998437406711003
      65                  12     10.1194625452265896      0.9998660634323717
      66                  13     10.1205646494239048      0.9998828055033253
      67                  12     10.1216799732752918      0.9998995475742785
      68                  13     10.1225316645297028      0.9999121041274934
      69                  12     10.1233932705246801      0.9999246606807088
      70                  13     10.1240508737953192      0.9999340780956198
      71                  12     10.1247159131213706      0.9999434955105313
      72                  13     10.1252232416967090      0.9999505585717152
      73                  12     10.1257361473136100      0.9999576216328987
      74                  13     10.1261272383368990      0.9999629189287860
      75                  12     10.1265225121413565      0.9999682162246732
      76                  13     10.1268237763526443      0.9999721891965891
      77                  12     10.1271281776498157      0.9999761621685050
      78                  13     10.1273600852661545      0.9999791418974415
      79                  12     10.1275943456968989      0.9999821216263780
      80                  13     10.1277727460025559      0.9999843564230804
      81                  12     10.1279529109190278      0.9999865912197832
      82                  13     10.1280900633433291      0.9999882673173097
      83                  12     10.1282285392257307      0.9999899434148367
      84                  13     10.1283339176902416      0.9999912004879818
      85                  12     10.1284402887483367      0.9999924575611274
      86                  13     10.1285212082064362      0.9999934003659865
      87                  12     10.1286028721097239      0.9999943431708451
      88                  13     10.1286649759105956      0.9999950502744892
      89                  12     10.1287276380453548      0.9999957573781337
      90                  13     10.1287752765514725      0.9999962877058666
      91                  12     10.1288233338080005      0.9999968180335999
      92                  13     10.1288598581791831      0.9999972157793997
      93                  12     10.1288966966131895      0.9999976135251991
      94                  13     10.1289246865102811      0.9999979118345488
      95                  12     10.1289529119544852      0.9999982101438989
      96                  13     10.1289743518413218      0.9999984338759114
      97                  12     10.1289959683884945      0.9999986576079238
      98                  13     10.1290123839016388      0.9999988254069332
      99                  12     10.1290289319100424      0.9999989932059421
     100                  13     10.1290414952434134      0.9999991190551993
