   x   y                   value
   1   4  1.5501814851700786e-08
   2   3  2.2440834677434381e-08
   0   3  4.1800220851416840e-08
   1   2  6.4790510598467817e-08
  -1   2  5.2961735556235075e-08
   2   1  6.0417528576992094e-08
   0   1  8.8093854785232663e-08
  -2   1  3.8347851844463158e-08
   3   0  3.2753043111803749e-08
   1   0  9.0449447396595224e-08
  -1   0  7.6446595339272704e-08
   2  -1  5.8452381776774018e-08
   0  -1  8.4754547687580098e-08
  -2  -1  3.7339380121806808e-08
   1  -2  5.8437668807163474e-08
  -1  -2  4.9074651716531063e-08
   2  -3  1.8794827659450875e-08
   0  -3  3.1793448207602967e-08
