****************************************************************
*       Calculation started on: Fri May 31 10:32:07 2024       *
****************************************************************
Timestep     Number of nodes      Mean crossing time     Crossed probability
       1                   2      0.5000000000000000      0.5000000000000000
       2                   6      0.5000000000000000      0.5000000000000000
       3                   8      0.8750000000000000      0.6250000000000000
       4                  15      0.8750000000000000      0.6250000000000000
       5                  18      1.1875000000000000      0.6875000000000000
       6                  28      1.1875000000000000      0.6875000000000000
       7                  32      1.4609375000000000      0.7265625000000000
       8                  45      1.4609375000000000      0.7265625000000000
       9                  50      1.7070312500000000      0.7539062500000000
      10                  66      1.7070312500000000      0.7539062500000000
      11                  72      1.9326171875000000      0.7744140625000000
      12                  91      1.9326171875000000      0.7744140625000000
      13                  98      2.1420898437500000      0.7905273437500000
      14                 120      2.1420898437500000      0.7905273437500000
      15                 128      2.3384704589843750      0.8036193847656250
      16                 153      2.3384704589843750      0.8036193847656250
      17                 162      2.5239410400390625      0.8145294189453125
      18                 190      2.5239410400390625      0.8145294189453125
      19                 200      2.7001380920410156      0.8238029479980469
      20                 231      2.7001380920410156      0.8238029479980469
      21                 242      2.8683261871337891      0.8318119049072266
      22                 276      2.8683261871337891      0.8318119049072266
      23                 288      3.0295064449310303      0.8388197422027588
      24                 325      3.0295064449310303      0.8388197422027588
      25                 338      3.1844874620437622      0.8450189828872681
      26                 378      3.1844874620437622      0.8450189828872681
      27                 392      3.3339334428310394      0.8505540192127228
      28                 435      3.3339334428310394      0.8505540192127228
      29                 450      3.4783978909254056      0.8555355519056320
      30                 496      3.4783978909254056      0.8555355519056320
      31                 512      3.6183478250168246      0.8600500659085815
      32                 561      3.6183478250168246      0.8600500659085815
      33                 578      3.7541815845761430      0.8641662404406809
      34                 630      3.7541815845761430      0.8641662404406809
      35                 648      3.8862421841477044      0.8679394004284395
      36                 703      3.8862421841477044      0.8679394004284395
      37                 722      4.0148275047831721      0.8714146793645328
      38                 780      4.0148275047831721      0.8714146793645328
      39                 800      4.1401981924027496      0.8746293123804190
      40                 861      4.1401981924027496      0.8746293123804190
      41                 882      4.2625838636504287      0.8776143287523139
      42                 946      4.2625838636504287      0.8776143287523139
      43                 968      4.3821880423697639      0.8803958212806717
      44                1035      4.3821880423697639      0.8803958212806717
      45                1058      4.4991921302473727      0.8829959121223969
      46                1128      4.4991921302473727      0.8829959121223969
      47                1152      4.6137586329608578      0.8854334972865132
      48                1225      4.6137586329608578      0.8854334972865132
      49                1250      4.7260338056200712      0.8877248273407830
      50                1326      4.7260338056200712      0.8877248273407830
      51                1352      4.8361498403435306      0.8898839652765376
      52                1431      4.8361498403435306      0.8898839652765376
      53                1458      4.9442266892387909      0.8919231511047503
      54                1540      4.9442266892387909      0.8919231511047503
      55                1568      5.0503735944037658      0.8938530948350223
      56                1653      5.0503735944037658      0.8938530948350223
      57                1682      5.1546903805141771      0.8956832138895907
      58                1770      5.1546903805141771      0.8956832138895907
      59                1800      5.2572685535227404      0.8974218269914307
      60                1891      5.2572685535227404      0.8974218269914307
      61                1922      5.3581922398698882      0.8990763136528594
      62                2016      5.3581922398698882      0.8990763136528594
      63                2048      5.4575389936178560      0.9006532462520336
      64                2145      5.4575389936178560      0.9006532462520336
      65                2178      5.5553804935211524      0.9021585000966998
      66                2278      5.5553804935211524      0.9021585000966998
      67                2312      5.6517831478376390      0.9035973456835129
      68                2415      5.6517831478376390      0.9035973456835129
      69                2450      5.7468086213781824      0.9049745264594635
      70                2556      5.7468086213781824      0.9049745264594635
      71                2592      5.8405142966751118      0.9062943247030824
      72                2701      5.8405142966751118      0.9062943247030824
      73                2738      5.9329536790626154      0.9075606176125000
      74                2850      5.9329536790626154      0.9075606176125000
      75                2888      6.0241767537871258      0.9087769252754940
      76                3003      6.0241767537871258      0.9087769252754940
      77                3042      6.1142303019125972      0.9099464518745266
      78                3160      6.1142303019125972      0.9099464518745266
      79                3200      6.2031581806865059      0.9110721212260953
      80                3321      6.2031581806865059      0.9110721212260953
      81                3362      6.2910015731338973      0.9121566075526073
      82                3486      6.2910015731338973      0.9121566075526073
