
****************************************************************

Beginning calculation

Speed       = 1
Timesteps   = 1000
Iterations  = 1000000
Tolerance   = 1e-06
Convergence = 1e-06

Boundary polynomial (normalised): x^2 - 1y - 1 = 0

Timestep     Number of nodes      Mean crossing time     Crossed probability    Internal probability       Total probability     Clock time per step      Elapsed clock time
       1                   1      0.7500000000000000      0.7500000000000000      0.2500000000000000      1.0000000000000000         00:00:00.000043         00:00:00.000465
       2                   4      0.7500000000000000      0.7500000000000000      0.2500000000000000      1.0000000000000000         00:00:00.000012         00:00:00.000503
       3                   4      1.0598191718703538      0.8593750000000000      0.1406250000000000      1.0000000000000000         00:00:00.000021         00:00:00.000538
       4                   7      1.1181324655959919      0.8750000000000000      0.1250000000000000      1.0000000000000000         00:00:00.000016         00:00:00.000572
       5                   7      1.3163459050473747      0.9160156250000000      0.0839843750000000      1.0000000000000000         00:00:00.000016         00:00:00.000599
       6                  12      1.3667252577680460      0.9248046875000000      0.0751953125000000      1.0000000000000000         00:00:00.000015         00:00:00.000629
       7                  12      1.5081138627727995      0.9454956054687500      0.0545043945312500      1.0000000000000000         00:00:00.000030         00:00:00.000673
       8                  17      1.5474421535858027      0.9505920410156250      0.0494079589843750      1.0000000000000000         00:00:00.000028         00:00:00.000717
       9                  17      1.6524312103025254      0.9624862670898438      0.0375137329101562      1.0000000000000000         00:00:00.000043         00:00:00.000774
      10                  22      1.6834463939131867      0.9656848907470703      0.0343151092529297      1.0000000000000000         00:00:00.000040         00:00:00.000832
      11                  22      1.7631093838336851      0.9730491638183594      0.0269508361816406      1.0000000000000000         00:00:00.000040         00:00:00.000889
      12                  29      1.7881172547690969      0.9751905202865601      0.0248094797134399      1.0000000000000000         00:00:00.000034         00:00:00.000938
      13                  29      1.8495965713882840      0.9799906015396118      0.0200093984603882      1.0000000000000000         00:00:00.000054         00:00:00.001010
      14                  36      1.8701295944583942      0.9814931526780128      0.0185068473219872      1.0000000000000000         00:00:00.000047         00:00:00.001074
      15                  36      1.9183390188721032      0.9847506666556001      0.0152493333443999      1.0000000000000000         00:00:00.000062         00:00:00.001151
      16                  43      1.9354237183363787      0.9858418749645352      0.0141581250354648      1.0000000000000000         00:00:00.000059         00:00:00.001226
      17                  43      1.9738176731407406      0.9881282921414822      0.0118717078585178      1.0000000000000000         00:00:00.000071         00:00:00.001310
      18                  50      1.9881767515088880      0.9889417936501559      0.0110582063498441      1.0000000000000000         00:00:00.000067         00:00:00.001394
      19                  50      2.0192066590812967      0.9905935437564040      0.0094064562435960      1.0000000000000000         00:00:00.000073         00:00:00.001482
      20                  59      2.0313730440645621      0.9912127903971850      0.0087872096028150      1.0000000000000000         00:00:00.000072         00:00:00.001569
      21                  59      2.0567928963499087      0.9924360230966158      0.0075639769033842      1.0000000000000000         00:00:00.000096         00:00:00.001679
      22                  68      2.0671729237773784      0.9929155989466381      0.0070844010533619      1.0000000000000000         00:00:00.000091         00:00:00.001787
      23                  68      2.0882506346511116      0.9938410196545249      0.0061589803454751      1.0000000000000000         00:00:00.000110         00:00:00.001913
      24                  77      2.0971610891072574      0.9942179145805383      0.0057820854194617      1.0000000000000000         00:00:00.000124         00:00:00.002058
      25                  77      2.1148249485370920      0.9949309632365608      0.0050690367634392      1.0000000000000000         00:00:00.000131         00:00:00.002213
      26                  86      2.1225165296253010      0.9952309530077761      0.0047690469922239      1.0000000000000000         00:00:00.000120         00:00:00.002358
      27                  86      2.1374562419130569      0.9957890590936127      0.0042109409063871      0.9999999999999998         00:00:00.000129         00:00:00.002506
      28                  95      2.1441295240554172      0.9960305188204326      0.0039694811795671      0.9999999999999997         00:00:00.000147         00:00:00.002672
