****************************************************************
*       Calculation started on: Fri May 31 10:31:35 2024       *
****************************************************************
Timestep     Number of nodes      Mean crossing time     Crossed probability
       1                   4      0.0000000000000000      0.0000000000000000
       2                   5      0.5000000000000000      0.2500000000000000
       3                   4      1.2500000000000000      0.5000000000000000
       4                   5      1.7500000000000000      0.6250000000000000
       5                   4      2.3750000000000000      0.7500000000000000
       6                   5      2.7500000000000000      0.8125000000000000
       7                   4      3.1875000000000000      0.8750000000000000
       8                   5      3.4375000000000000      0.9062500000000000
       9                   4      3.7187500000000000      0.9375000000000000
      10                   5      3.8750000000000000      0.9531250000000000
      11                   4      4.0468750000000000      0.9687500000000000
      12                   5      4.1406250000000000      0.9765625000000000
      13                   4      4.2421875000000000      0.9843750000000000
      14                   5      4.2968750000000000      0.9882812500000000
      15                   4      4.3554687500000000      0.9921875000000000
      16                   5      4.3867187500000000      0.9941406250000000
      17                   4      4.4199218750000000      0.9960937500000000
      18                   5      4.4375000000000000      0.9970703125000000
      19                   4      4.4560546875000000      0.9980468750000000
      20                   5      4.4658203125000000      0.9985351562500000
      21                   4      4.4760742187500000      0.9990234375000000
      22                   5      4.4814453125000000      0.9992675781250000
      23                   4      4.4870605468750000      0.9995117187500000
      24                   5      4.4899902343750000      0.9996337890625000
      25                   4      4.4930419921875000      0.9997558593750000
      26                   5      4.4946289062500000      0.9998168945312500
      27                   4      4.4962768554687500      0.9998779296875000
      28                   5      4.4971313476562500      0.9999084472656250
      29                   4      4.4980163574218750      0.9999389648437500
      30                   5      4.4984741210937500      0.9999542236328125
      31                   4      4.4989471435546875      0.9999694824218750
      32                   5      4.4991912841796875      0.9999771118164062
      33                   4      4.4994430541992188      0.9999847412109375
      34                   5      4.4995727539062500      0.9999885559082031
      35                   4      4.4997062683105469      0.9999923706054688
      36                   5      4.4997749328613281      0.9999942779541016
      37                   4      4.4998455047607422      0.9999961853027344
      38                   5      4.4998817443847656      0.9999971389770508
      39                   4      4.4999189376831055      0.9999980926513672
      40                   5      4.4999380111694336      0.9999985694885254
      41                   4      4.4999575614929199      0.9999990463256836
